"","topic","term","estimate","std.error","statistic","p.value"
"55",28,"(Intercept)",0.00952173039061942,0.00133034233774411,7.15735350253202,0.000000000000871573235795019
"56",28,"g_orientadorMale",0.00316594745013765,0.00158116196102009,2.00229168686498,0.0452763593459211
"57",29,"(Intercept)",0.0143621568431093,0.00166148857835965,8.64415020974065,0.00000000000000000612230826633938
"58",29,"g_orientadorMale",-0.000207965968000054,0.00183275932965536,-0.113471509671246,0.909658692046189
"59",30,"(Intercept)",0.0105060348991063,0.00161033652959727,6.52412381263795,0.0000000000712153884902871
"60",30,"g_orientadorMale",0.0000507924706953304,0.00172347720146262,0.0294709269447984,0.976489507431207
"61",31,"(Intercept)",0.00702162019788172,0.00118541546736578,5.92334113328645,0.00000000324317796565666
"62",31,"g_orientadorMale",0.00309902452745441,0.00133675921597165,2.31831169774418,0.0204495034566454
"63",32,"(Intercept)",0.0132559164161608,0.00140409134825321,9.44092165559743,0.00000000000000000000439003439185043
"64",32,"g_orientadorMale",-0.000749503711759995,0.00157654868489718,-0.475407907754449,0.634505116090467
"65",33,"(Intercept)",0.0192003967466918,0.00210778943730255,9.10925750309459,0.000000000000000000096336919326619
"66",33,"g_orientadorMale",-0.00175010379052282,0.00230411471071465,-0.759555842590841,0.447535394255351
"67",34,"(Intercept)",0.0151370930651,0.00185779893922347,8.14786398329362,0.000000000000000407906766687278
"68",34,"g_orientadorMale",-0.00572055287752464,0.00201185540816161,-2.84342147766572,0.00447091867020071
"69",35,"(Intercept)",0.00646702486789028,0.00169039574463878,3.82574606473127,0.000131053008214475
"70",35,"g_orientadorMale",0.00801945598380831,0.00188139011698582,4.26251626996761,0.0000203718906562049
"71",36,"(Intercept)",0.0114869064706187,0.0016881963061036,6.80424807771957,0.0000000000106523997241357
"72",36,"g_orientadorMale",-0.00126588478619798,0.00191708568042964,-0.660317271742538,0.509063221315414
"73",37,"(Intercept)",0.0187193850556958,0.0018266209327039,10.2480951140672,0.00000000000000000000000153168893480918
"74",37,"g_orientadorMale",-0.00503272907999688,0.0019157178220826,-2.62707222430376,0.00862351153187882
"75",38,"(Intercept)",0.0064882967521797,0.00119537078046478,5.42785289569898,0.000000058171694584263
"76",38,"g_orientadorMale",0.00047999582744076,0.00131581740072549,0.364789086370275,0.715275432011475
"77",39,"(Intercept)",0.0277489996860836,0.00237296876443137,11.693790538677,0.00000000000000000000000000000020486407124687
"78",39,"g_orientadorMale",-0.0083041730062843,0.00266501394492773,-3.11599608027923,0.00183767383662582
"79",40,"(Intercept)",0.00750735323422794,0.00108130650046169,6.9428540668372,0.00000000000404541601476752
"80",40,"g_orientadorMale",-0.000757414387182642,0.00121125810950599,-0.6253121289661,0.531778391779848
"81",41,"(Intercept)",0.010732678755546,0.00187188857524022,5.73360984062244,0.0000000100742229194553
"82",41,"g_orientadorMale",0.00490076943727799,0.00208970987117787,2.3451913133356,0.0190339015339334
"83",42,"(Intercept)",0.0131487321629566,0.00139553925009286,9.4219723035964,0.00000000000000000000525228025894611
"84",42,"g_orientadorMale",0.000740410093867918,0.00155400904555493,0.476451598519184,0.63376156113347
"85",43,"(Intercept)",0.00691634478586109,0.00160459214371464,4.31034441552836,0.0000164331032690803
"86",43,"g_orientadorMale",0.00479553396765761,0.00188822070244449,2.53971051236188,0.0111072260182381
"87",44,"(Intercept)",0.00416379202607882,0.00133551913138936,3.1177329685627,0.00182688821538754
"88",44,"g_orientadorMale",0.0038206939798602,0.00153617493386348,2.48714771712305,0.0128909900296126
"89",45,"(Intercept)",0.00337926255144647,0.00143738941705779,2.35097219399564,0.0187409011603664
"90",45,"g_orientadorMale",0.00750056016187618,0.00163724667477511,4.58120347864286,0.00000467075565805817
"91",46,"(Intercept)",0.00623833279764943,0.0013510139292841,4.61751922939469,0.00000392483443700175
"92",46,"g_orientadorMale",0.00173332309815255,0.00147129282118229,1.17809525962323,0.238782543444387
"93",47,"(Intercept)",0.0128277641290284,0.00186756686891638,6.86870405688417,0.00000000000680636517655587
"94",47,"g_orientadorMale",0.00219842204113215,0.00211340150280101,1.04022924097407,0.29825486052434
"95",48,"(Intercept)",0.0256265871774746,0.0024663561859664,10.3904648174057,0.000000000000000000000000352402251582447
"96",48,"g_orientadorMale",-0.0106508782206666,0.00271376994705725,-3.92475354523555,0.0000873146618766123
"97",49,"(Intercept)",0.0187673705958428,0.0023467357521471,7.99722362378122,0.00000000000000139185430789859
"98",49,"g_orientadorMale",0.00115822810935928,0.00276101691167268,0.419493304971321,0.674863332791911
"99",50,"(Intercept)",0.00856432782433238,0.00151649702470363,5.64744123121911,0.0000000166641289800384
"100",50,"g_orientadorMale",-0.00217217289122383,0.00163030064644286,-1.33237565473784,0.18276267402951
"101",51,"(Intercept)",0.00622216326290157,0.00147028025394653,4.23195730623467,0.0000233429380834928
"102",51,"g_orientadorMale",0.00151141041786577,0.00168800979307809,0.89538012401558,0.370602304193602
"103",52,"(Intercept)",0.0112901948172417,0.0015420486471792,7.32155554099692,0.000000000000261143244615148
"104",52,"g_orientadorMale",0.00373886372262469,0.00172416380392279,2.16850841788818,0.0301400668503203
"105",53,"(Intercept)",0.0112114753473786,0.0018561729895909,6.04010262526748,0.00000000158684383747752
"106",53,"g_orientadorMale",0.00907723956053237,0.00214804583089665,4.22581279690076,0.0000239881633947408
"107",54,"(Intercept)",0.0229746094035627,0.0022604789795257,10.1636023213024,0.00000000000000000000000362970758908003
"108",54,"g_orientadorMale",-0.0138974557762205,0.00241425223956796,-5.75642244354196,0.0000000088069392389532
"109",55,"(Intercept)",0.020080141124562,0.00212298336709925,9.45845428454701,0.00000000000000000000371771637506218
"110",55,"g_orientadorMale",-0.00306166691699442,0.00234600467967668,-1.30505575863402,0.191899474846898
"111",56,"(Intercept)",0.00714743208112589,0.00147048301423341,4.86060159277119,0.00000118546283549952
"112",56,"g_orientadorMale",0.00133399188022435,0.00163262188910393,0.817085627191069,0.41389609913739
"113",57,"(Intercept)",0.0130069467819707,0.001772243044908,7.33925677933517,0.000000000000228968069409794
"114",57,"g_orientadorMale",-0.000388326576533384,0.00210258770460497,-0.18468983514119,0.853475513898342
"115",58,"(Intercept)",0.0101877215193486,0.00141874787411818,7.18078363689589,0.000000000000735038688703478
"116",58,"g_orientadorMale",-0.00371574905889757,0.00152539074383729,-2.43593261196157,0.0148682429703816
"117",59,"(Intercept)",0.016844539173974,0.00204869033849684,8.22210114308104,0.000000000000000220985107509566
"118",59,"g_orientadorMale",-0.000732404425164907,0.00225639610732318,-0.324590360171192,0.745496915076443
"119",60,"(Intercept)",0.0106215738302831,0.00163263385543206,6.50579050222638,0.0000000000804313066654785
"120",60,"g_orientadorMale",0.000611186448767195,0.00194349088563825,0.314478680236507,0.753163102352523
"121",61,"(Intercept)",0.0217003317579421,0.00240464348245854,9.02434473810454,0.000000000000000000208817973633799
"122",61,"g_orientadorMale",-0.0101202420314576,0.00254733187377834,-3.97287928425547,0.0000714339669111228
"123",62,"(Intercept)",0.0129870757823133,0.00147929070850865,8.77925867283129,0.00000000000000000187284683881341
"124",62,"g_orientadorMale",-0.00563796806997854,0.00156451771313706,-3.60364604544725,0.000315084182938426
"125",63,"(Intercept)",0.0123569393132677,0.00209772644930802,5.89063427090024,0.00000000395278543328437
"126",63,"g_orientadorMale",0.00439997201827198,0.00238985807000831,1.84110180997346,0.0656318906416717
"127",64,"(Intercept)",0.0130757146452978,0.00195207970061777,6.6983508107583,0.0000000000220422821131657
"128",64,"g_orientadorMale",0.00643777726982531,0.00223024245786762,2.88658179164099,0.00390162771057714
"129",65,"(Intercept)",0.0280090084709196,0.00209294754248374,13.3825659278975,0.000000000000000000000000000000000000000151624308665589
"130",65,"g_orientadorMale",-0.0122419969392374,0.00228915502072529,-5.34782346691342,0.0000000906907574714708
"131",66,"(Intercept)",0.011799792458093,0.00119085286107173,9.90869052241566,0.0000000000000000000000470114868433488
"132",66,"g_orientadorMale",0.000633005796049409,0.0013608371968016,0.465159092900439,0.641826170154409
"133",67,"(Intercept)",0.0144654103959083,0.00242880269553955,5.95577830281306,0.00000000266258475924791
"134",67,"g_orientadorMale",0.00233754845058605,0.00257630073072965,0.907327480330302,0.364252294607553
"135",68,"(Intercept)",0.0121795167401223,0.00220388667231168,5.52638068605729,0.0000000333888429165659
"136",68,"g_orientadorMale",0.00384198644506207,0.00238832853236832,1.60865073334458,0.107719659417445
"137",69,"(Intercept)",0.0127388561938632,0.00201044600566653,6.33633340958086,0.000000000243918991578778
"138",69,"g_orientadorMale",0.00878096116946625,0.00226628433673708,3.87460700633389,0.000107378169607121
"139",70,"(Intercept)",0.0105155467687588,0.0013124523475764,8.01213605063603,0.00000000000000123382333918418
"140",70,"g_orientadorMale",0.00166653131155333,0.00146723351265485,1.13583236559112,0.256049946518017
"141",71,"(Intercept)",0.022527000599061,0.00288923153170937,7.79688313374225,0.00000000000000688155690237465
"142",71,"g_orientadorMale",0.00617351755351717,0.00313499227965148,1.96922894948995,0.0489503172951627
"143",72,"(Intercept)",0.0164352027209367,0.00180697309047236,9.09543302420756,0.000000000000000000109319772205158
